task,fleet_size,locations,infrastructure,policy,order,seed,policy_seed,day,started_utc,process_seconds,requests,steps,reset_seconds,wall_seconds,agent_seconds,environment_seconds,overhead_seconds,ms_per_decision_epoch,agent_ms_per_epoch,environment_ms_per_epoch,reward
12,1000,40,S40_10_20,ppo_sampled,2,100003,200003,30,2026-09-09T15:54:14.142482+00:00,31.170752125000035,20000,36339,0.1278983389493078,31.38194998400286,10.808319590403698,20.54474084021058,0.02888955338858068,0.8635887059083315,0.297430297762836,0.5653634068139074,317388.0619418333
12,1000,40,S40_10_20,random,0,100004,200004,18,2026-09-09T15:54:45.677965+00:00,27.73667070199963,20000,36752,0.15286612301133573,27.92393892002292,6.963958740583621,20.930300008272752,0.029680171166546643,0.7597937233354082,0.18948516381648947,0.5695009797636251,318018.0161206727
12,1000,40,S40_10_20,ppo_sampled,1,100004,200004,18,2026-09-09T15:55:13.729573+00:00,31.406799646999843,20000,36761,0.12713655002880841,31.614360994892195,10.832155417301692,20.752913432195783,0.029292145394720137,0.8599973067895921,0.29466432951502114,0.5645361505997057,319897.25614205265
12,1000,40,S40_10_20,nearest,2,100004,200004,18,2026-09-09T15:55:45.471699+00:00,15.553894684999705,20000,20096,0.1271336949430406,15.650164130958728,5.951919873827137,9.682671178132296,0.01557307899929583,0.7787701100198412,0.29617435677881854,0.48182081897553225,340528.56831084815
13,2000,5,S05_1_400,random,0,100000,200000,5,2026-09-09T15:58:19.923073+00:00,48.66922088299998,40000,64694,0.25502539006993175,48.975435786065646,13.201838577981107,35.72099251532927,0.052604692755267024,0.7570321171370706,0.20406588830465122,0.5521530978967025,599220.649182084
13,2000,5,S05_1_400,ppo_sampled,1,100000,200000,5,2026-09-09T15:59:09.152722+00:00,55.368161701999725,40000,64548,0.2535999460378662,55.71162221801933,19.878573068766855,35.780381336808205,0.05266781244426966,0.8631037711163682,0.30796574748662786,0.5543220756151733,601426.130654655
13,2000,5,S05_1_400,nearest,2,100000,200000,5,2026-09-09T16:00:05.118190+00:00,31.73033458200007,40000,40096,0.25318967597559094,31.913998096017167,13.019291808246635,18.862809654907323,0.03189663286320865,0.7959396971273236,0.3247030079869971,0.47044118253460004,596469.9716588556
13,2000,5,S05_1_400,ppo_sampled,0,100001,200001,17,2026-09-09T16:00:37.377939+00:00,55.939643326999885,40000,65153,0.34513422893360257,56.27018237207085,20.03266742208507,36.18506667588372,0.05244827410206199,0.8636621855029062,0.3074711436477993,0.5553860401805553,611944.7836591654
13,2000,5,S05_1_400,nearest,1,100001,200001,17,2026-09-09T16:01:33.900158+00:00,31.51403571899982,40000,40095,0.25143589405342937,31.702800418948755,12.9058110951446,18.76528544339817,0.03170388040598482,0.7906921166965645,0.32188081045378725,0.4680205871903771,585444.911271176
13,2000,5,S05_1_400,random,2,100001,200001,17,2026-09-09T16:02:05.854946+00:00,49.04335769299996,40000,65198,0.2513772629899904,49.349191055982374,13.237298814114183,36.058780150604434,0.053112091263756156,0.7569126515534583,0.20303228341535298,0.5530657405227835,609578.128528538
13,2000,5,S05_1_400,nearest,0,100002,200002,31,2026-09-09T16:02:55.559145+00:00,31.901794609000262,40000,40096,0.35420273803174496,32.133882767986506,13.055994014721364,19.045736510888673,0.032152242376469076,0.8014236524338215,0.32561836628894064,0.475003404601174,577687.7548222198
13,2000,5,S05_1_400,random,1,100002,200002,31,2026-09-09T16:03:27.948990+00:00,49.2009249140001,40000,65331,0.25534041703213006,49.52008752897382,13.306670371559449,36.16019159753341,0.05322555988095701,0.7579875943881743,0.20368080040959802,0.5534920879449788,618403.0115930095
13,2000,5,S05_1_400,ppo_sampled,2,100002,200002,31,2026-09-09T16:04:17.723650+00:00,55.895847928999956,40000,65218,0.253939026966691,56.246074306895025,20.022258742596023,36.171013392158784,0.05280217214021832,0.8624317566759947,0.3070051020055203,0.5546170289208314,621183.5324889232
13,2000,5,S05_1_400,random,0,100003,200003,30,2026-09-09T16:05:14.316391+00:00,48.70104767599969,40000,64961,0.34581246704328805,49.03809145302512,13.204843153245747,35.77882307639811,0.05442522338125855,0.7548851072647452,0.20327339716515674,0.5507738962823557,620377.3119982854
13,2000,5,S05_1_400,ppo_sampled,1,100003,200003,30,2026-09-09T16:06:03.609307+00:00,56.41569715900005,40000,65359,0.2541812889976427,56.8009433450643,20.221578690223396,36.52608254668303,0.053282108157873154,0.8690607773231582,0.3093924125250294,0.5588531425921912,622412.2987400289
13,2000,5,S05_1_400,nearest,2,100003,200003,30,2026-09-09T16:07:00.660817+00:00,31.819254697999895,40000,40096,0.24994071596302092,32.03753902902827,12.962296539684758,19.043475104146637,0.031767385196872056,0.7990208257439213,0.32328153780139557,0.47494700479216473,588600.851310764
13,2000,5,S05_1_400,ppo_sampled,0,100004,200004,18,2026-09-09T16:07:33.068365+00:00,55.7978324249998,40000,64841,0.36934588104486465,56.14581739902496,20.052017223788425,36.041354574263096,0.0524456009734422,0.865899930584429,0.30924904341062637,0.555842053241978,618898.0258620719
13,2000,5,S05_1_400,nearest,1,100004,200004,18,2026-09-09T16:08:29.465813+00:00,31.825871534999806,40000,40096,0.2510119859362021,32.025460835080594,13.049595035030507,18.94435959821567,0.03150620183441788,0.7987195938517706,0.3254587748162038,0.47247504983578587,588432.8396743041
13,2000,5,S05_1_400,random,2,100004,200004,18,2026-09-09T16:09:01.745345+00:00,48.848702024999966,40000,64935,0.2534518779721111,49.15075272100512,13.201621103682555,35.89632002601866,0.052811591303907335,0.7569223488258277,0.20330516830187964,0.5528038812045685,617406.6859790736
14,2000,10,S10_2_200,ppo_sampled,0,100000,200000,5,2026-09-09T16:12:15.896438+00:00,58.044313676,40000,65890,0.24959826096892357,58.3829926130129,21.044493572670035,37.285071749356575,0.053427290986292064,0.8860675764609638,0.3193882770173021,0.5658684436083863,616917.1662015537
14,2000,10,S10_2_200,nearest,1,100000,200000,5,2026-09-09T16:13:14.528862+00:00,33.23772425399966,40000,40096,0.24880637298338115,33.437145669944584,14.022379376576282,19.38272121862974,0.03204507473856211,0.8339272164291845,0.34972015603991125,0.48340785162185107,639885.7477836466
14,2000,10,S10_2_200,random,2,100000,200000,5,2026-09-09T16:13:48.218002+00:00,50.73936875799973,40000,65839,0.2513490120181814,51.06517814809922,13.676346921012737,37.33511469035875,0.05371653672773391,0.7756068310287098,0.20772409849804427,0.5670668553647344,615717.9121928788
14,2000,10,S10_2_200,nearest,0,100001,200001,17,2026-09-09T16:14:39.571802+00:00,33.665828065999904,40000,40095,0.28801042900886387,33.90266313403845,14.141857646405697,19.728907780488953,0.03189770714379847,0.8455583772050991,0.3527087578602244,0.4920540661052239,644160.1193686321
14,2000,10,S10_2_200,random,1,100001,200001,17,2026-09-09T16:15:13.726949+00:00,51.42789402000017,40000,66614,0.25185602298006415,51.75685430993326,13.808464624686167,37.89355837425683,0.0548313109902665,0.7769666182774381,0.20729072904623902,0.5688527693016007,625785.2309528439
14,2000,10,S10_2_200,ppo_sampled,2,100001,200001,17,2026-09-09T16:16:05.736128+00:00,58.81346828200003,40000,66606,0.25172254093922675,59.185670752078295,21.28949206066318,37.84206261741929,0.05411607399582863,0.888593681531368,0.3196332471648677,0.5681479538993377,627209.5087004448
14,2000,10,S10_2_200,random,0,100002,200002,31,2026-09-09T16:17:05.199937+00:00,51.56516019999981,40000,66647,0.2775151610840112,51.92251862201374,13.85842831118498,38.00912569859065,0.05496461223810911,0.7790676042734668,0.20793776630883581,0.5703051254908795,633953.4941263786
14,2000,10,S10_2_200,ppo_sampled,1,100002,200002,31,2026-09-09T16:17:57.374228+00:00,58.92888936600002,40000,66866,0.2511275130091235,59.324053765973076,21.24597079853993,38.0236360556446,0.05444691178854555,0.8872080544069194,0.3177395208108744,0.5686542645835642,635142.8359203005
14,2000,10,S10_2_200,nearest,2,100002,200002,31,2026-09-09T16:18:56.951055+00:00,33.803436543000316,40000,40096,0.252122989972122,34.0445397850126,14.216010357369669,19.79638795752544,0.032141470117494464,0.8490757129143207,0.35454934051700093,0.49372475951529926,655369.4139794521
14,2000,10,S10_2_200,ppo_sampled,0,100003,200003,30,2026-09-09T16:19:31.985426+00:00,58.68049697300012,40000,66555,0.9887308810139075,60.66473937698174,22.891186153050512,37.71942629455589,0.054126929375343025,0.911497849552727,0.3439438983254528,0.5667406850658235,635168.6036454896
